stage,group,type,position,team_id,team,team_tla,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference
GROUP_STAGE,GROUP_H,TOTAL,29,758,Uruguay,URY,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_G,TOTAL,30,840,Iran,IRN,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_G,TOTAL,31,783,New Zealand,NZL,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_I,TOTAL,32,773,France,FRA,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_I,TOTAL,33,804,Senegal,SEN,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_I,TOTAL,34,8062,Iraq,IRQ,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_I,TOTAL,35,8872,Norway,NOR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_J,TOTAL,36,762,Argentina,ARG,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_J,TOTAL,37,778,Algeria,ALG,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_J,TOTAL,38,816,Austria,AUT,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_J,TOTAL,39,8049,Jordan,JOR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_K,TOTAL,40,765,Portugal,POR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_K,TOTAL,41,1934,Congo DR,COD,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_L,TOTAL,42,770,England,ENG,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_L,TOTAL,43,799,Croatia,CRO,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_L,TOTAL,44,763,Ghana,GHA,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_L,TOTAL,45,1836,Panama,PAN,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_K,TOTAL,46,8070,Uzbekistan,UZB,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_K,TOTAL,47,818,Colombia,COL,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_A,TOTAL,48,774,South Africa,RSA,1,0,0,1,0,0,2,-2
GROUP_STAGE,GROUP_A,HOME,1,769,Mexico,MEX,1,1,0,0,3,2,0,2
GROUP_STAGE,GROUP_A,HOME,2,774,South Africa,RSA,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_A,HOME,3,772,South Korea,KOR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_A,HOME,4,798,Czechia,CZE,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_B,HOME,5,828,Canada,CAN,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_B,HOME,6,1060,Bosnia-Herzegovina,BIH,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_D,HOME,7,771,United States,USA,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_D,HOME,8,761,Paraguay,PAR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_B,HOME,9,8030,Qatar,QAT,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_B,HOME,10,788,Switzerland,SUI,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_C,HOME,11,764,Brazil,BRA,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_C,HOME,12,815,Morocco,MAR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_C,HOME,13,836,Haiti,HAI,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_C,HOME,14,8873,Scotland,SCO,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_D,HOME,15,779,Australia,AUS,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_D,HOME,16,803,Turkey,TUR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_E,HOME,17,759,Germany,GER,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_E,HOME,18,9460,Curaçao,CUW,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_F,HOME,19,8601,Netherlands,NED,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_F,HOME,20,766,Japan,JPN,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_E,HOME,21,1935,Ivory Coast,CIV,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_E,HOME,22,791,Ecuador,ECU,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_F,HOME,23,792,Sweden,SWE,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_F,HOME,24,802,Tunisia,TUN,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_H,HOME,25,760,Spain,ESP,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_H,HOME,26,1930,Cape Verde Islands,CPV,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_G,HOME,27,805,Belgium,BEL,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_G,HOME,28,825,Egypt,EGY,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_H,HOME,29,801,Saudi Arabia,KSA,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_H,HOME,30,758,Uruguay,URY,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_G,HOME,31,840,Iran,IRN,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_G,HOME,32,783,New Zealand,NZL,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_I,HOME,33,773,France,FRA,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_I,HOME,34,804,Senegal,SEN,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_I,HOME,35,8062,Iraq,IRQ,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_I,HOME,36,8872,Norway,NOR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_J,HOME,37,762,Argentina,ARG,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_J,HOME,38,778,Algeria,ALG,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_J,HOME,39,816,Austria,AUT,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_J,HOME,40,8049,Jordan,JOR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_K,HOME,41,765,Portugal,POR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_K,HOME,42,1934,Congo DR,COD,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_L,HOME,43,770,England,ENG,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_L,HOME,44,799,Croatia,CRO,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_L,HOME,45,763,Ghana,GHA,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_L,HOME,46,1836,Panama,PAN,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_K,HOME,47,8070,Uzbekistan,UZB,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_K,HOME,48,818,Colombia,COL,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_A,AWAY,1,769,Mexico,MEX,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_A,AWAY,2,772,South Korea,KOR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_A,AWAY,3,798,Czechia,CZE,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_B,AWAY,4,828,Canada,CAN,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_B,AWAY,5,1060,Bosnia-Herzegovina,BIH,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_D,AWAY,6,771,United States,USA,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_D,AWAY,7,761,Paraguay,PAR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_B,AWAY,8,8030,Qatar,QAT,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_B,AWAY,9,788,Switzerland,SUI,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_C,AWAY,10,764,Brazil,BRA,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_C,AWAY,11,815,Morocco,MAR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_C,AWAY,12,836,Haiti,HAI,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_C,AWAY,13,8873,Scotland,SCO,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_D,AWAY,14,779,Australia,AUS,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_D,AWAY,15,803,Turkey,TUR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_E,AWAY,16,759,Germany,GER,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_E,AWAY,17,9460,Curaçao,CUW,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_F,AWAY,18,8601,Netherlands,NED,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_F,AWAY,19,766,Japan,JPN,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_E,AWAY,20,1935,Ivory Coast,CIV,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_E,AWAY,21,791,Ecuador,ECU,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_F,AWAY,22,792,Sweden,SWE,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_F,AWAY,23,802,Tunisia,TUN,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_H,AWAY,24,760,Spain,ESP,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_H,AWAY,25,1930,Cape Verde Islands,CPV,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_G,AWAY,26,805,Belgium,BEL,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_G,AWAY,27,825,Egypt,EGY,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_H,AWAY,28,801,Saudi Arabia,KSA,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_H,AWAY,29,758,Uruguay,URY,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_G,AWAY,30,840,Iran,IRN,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_G,AWAY,31,783,New Zealand,NZL,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_I,AWAY,32,773,France,FRA,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_I,AWAY,33,804,Senegal,SEN,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_I,AWAY,34,8062,Iraq,IRQ,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_I,AWAY,35,8872,Norway,NOR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_J,AWAY,36,762,Argentina,ARG,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_J,AWAY,37,778,Algeria,ALG,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_J,AWAY,38,816,Austria,AUT,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_J,AWAY,39,8049,Jordan,JOR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_K,AWAY,40,765,Portugal,POR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_K,AWAY,41,1934,Congo DR,COD,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_L,AWAY,42,770,England,ENG,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_L,AWAY,43,799,Croatia,CRO,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_L,AWAY,44,763,Ghana,GHA,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_L,AWAY,45,1836,Panama,PAN,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_K,AWAY,46,8070,Uzbekistan,UZB,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_K,AWAY,47,818,Colombia,COL,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_A,AWAY,48,774,South Africa,RSA,1,0,0,1,0,0,2,-2
