match_date,tournament,team_a,team_b,is_home,neutral,elo_team,elo_opponent,elo_diff,fifa_rank_team,fifa_rank_opponent,fifa_rank_diff,fifa_points_team,fifa_points_opponent,fifa_points_diff,wins_last_5,draws_last_5,losses_last_5,points_last_5,goals_scored_last_5,goals_conceded_last_5,avg_goals_scored_last_5,avg_goals_conceded_last_5,clean_sheets_last_5,weighted_form_last_5,avg_opponent_elo_last_5,wins_vs_top30_last_5,points_vs_top30_last_5,wins_vs_top50_last_5,points_vs_top50_last_5,elo_change_last_5,wins_last_10,draws_last_10,losses_last_10,points_last_10,goals_scored_last_10,goals_conceded_last_10,avg_goals_scored_last_10,avg_goals_conceded_last_10,clean_sheets_last_10,weighted_form_last_10,avg_opponent_elo_last_10,wins_vs_top30_last_10,points_vs_top30_last_10,wins_vs_top50_last_10,points_vs_top50_last_10,elo_change_last_10,opponent_wins_last_5,opponent_draws_last_5,opponent_losses_last_5,opponent_points_last_5,opponent_goals_scored_last_5,opponent_goals_conceded_last_5,opponent_avg_goals_scored_last_5,opponent_avg_goals_conceded_last_5,opponent_clean_sheets_last_5,opponent_weighted_form_last_5,opponent_avg_opponent_elo_last_5,opponent_wins_vs_top30_last_5,opponent_points_vs_top30_last_5,opponent_wins_vs_top50_last_5,opponent_points_vs_top50_last_5,opponent_elo_change_last_5,opponent_wins_last_10,opponent_draws_last_10,opponent_losses_last_10,opponent_points_last_10,opponent_goals_scored_last_10,opponent_goals_conceded_last_10,opponent_avg_goals_scored_last_10,opponent_avg_goals_conceded_last_10,opponent_clean_sheets_last_10,opponent_weighted_form_last_10,opponent_avg_opponent_elo_last_10,opponent_wins_vs_top30_last_10,opponent_points_vs_top30_last_10,opponent_wins_vs_top50_last_10,opponent_points_vs_top50_last_10,opponent_elo_change_last_10,wins_last_5_diff,draws_last_5_diff,losses_last_5_diff,points_last_5_diff,goals_scored_last_5_diff,goals_conceded_last_5_diff,avg_goals_scored_last_5_diff,avg_goals_conceded_last_5_diff,clean_sheets_last_5_diff,weighted_form_last_5_diff,avg_opponent_elo_last_5_diff,wins_vs_top30_last_5_diff,points_vs_top30_last_5_diff,wins_vs_top50_last_5_diff,points_vs_top50_last_5_diff,elo_change_last_5_diff,wins_last_10_diff,draws_last_10_diff,losses_last_10_diff,points_last_10_diff,goals_scored_last_10_diff,goals_conceded_last_10_diff,avg_goals_scored_last_10_diff,avg_goals_conceded_last_10_diff,clean_sheets_last_10_diff,weighted_form_last_10_diff,avg_opponent_elo_last_10_diff,wins_vs_top30_last_10_diff,points_vs_top30_last_10_diff,wins_vs_top50_last_10_diff,points_vs_top50_last_10_diff,elo_change_last_10_diff,result,target
1993-01-10,Friendly,Uganda,Tanzania,1,0,1504,1300,204,92,80,12,12.0,15.0,-3,2,2,1,8,9,6,1.8,1.2,1,2.0,1402.0,0,0,0,0,0.0,6,2,2,20,23,11,2.3,1.1,3,1.9273,1399.6,0,0,0,0,8.0,2,0,3,6,6,7,1.2,1.4,1,1.2,1416.0,0,0,0,0,0.0,2,3,5,9,8,16,0.8,1.6,2,1.0545,1443.5556,0,0,0,0,48.0,0,2,-2,2,3,-1,0.6,-0.2,0,0.8,-14,0,0,0,0,0,4,-1,-3,11,15,-5,1.5,-0.5,1,0.8728,-43.9556,0,0,0,0,-40,win,2
1993-01-10,Friendly,Tanzania,Uganda,0,0,1300,1504,-204,80,92,-12,15.0,12.0,3,2,0,3,6,6,7,1.2,1.4,1,1.2,1416.0,0,0,0,0,0.0,2,3,5,9,8,16,0.8,1.6,2,1.0545,1443.5556,0,0,0,0,48.0,2,2,1,8,9,6,1.8,1.2,1,2.0,1402.0,0,0,0,0,0.0,6,2,2,20,23,11,2.3,1.1,3,1.9273,1399.6,0,0,0,0,8.0,0,-2,2,-2,-3,1,-0.6,0.2,0,-0.8,14,0,0,0,0,0,-4,1,3,-11,-15,5,-1.5,0.5,-1,-0.8728,43.9556,0,0,0,0,40,loss,0
1993-01-16,FIFA World Cup qualification,Tanzania,Zambia,1,0,1300,1588,-288,80,31,49,15.0,38.0,-23,2,0,3,6,6,8,1.2,1.6,1,0.8,1508.5,0,0,0,0,0.0,2,2,6,8,7,17,0.7,1.7,2,0.8909,1455.4444,0,0,0,0,48.0,3,1,1,10,14,3,2.8,0.6,3,1.6,1357.0,0,0,0,0,0.0,7,1,2,22,24,6,2.4,0.6,6,1.8909,1359.75,0,0,0,0,0.0,-1,-1,2,-4,-8,5,-1.6,1,-2,-0.8,151.5,0,0,0,0,0,-5,1,4,-14,-17,11,-1.7,1.1,-4,-1,95.6944,0,0,0,0,48,loss,0
1993-01-16,FIFA World Cup qualification,Zambia,Tanzania,0,0,1588,1300,288,31,80,-49,38.0,15.0,23,3,1,1,10,14,3,2.8,0.6,3,1.6,1357.0,0,0,0,0,0.0,7,1,2,22,24,6,2.4,0.6,6,1.8909,1359.75,0,0,0,0,0.0,2,0,3,6,6,8,1.2,1.6,1,0.8,1508.5,0,0,0,0,0.0,2,2,6,8,7,17,0.7,1.7,2,0.8909,1455.4444,0,0,0,0,48.0,1,1,-2,4,8,-5,1.6,-1,2,0.8,-151.5,0,0,0,0,0,5,-1,-4,14,17,-11,1.7,-1.1,4,1,-95.6944,0,0,0,0,-48,win,2
1993-01-17,FIFA World Cup qualification,Benin,Tunisia,1,0,1254,1540,-286,125,37,88,4.0,35.0,-31,0,0,5,0,3,13,0.6,2.6,0,0.0,1504.2,0,0,0,0,0.0,0,1,9,1,3,22,0.3,2.2,1,0.0545,1534.2,0,0,0,0,0.0,2,3,0,9,10,3,2.0,0.6,2,1.8,1537.6,1,3,1,3,0.0,4,5,1,17,20,11,2.0,1.1,2,1.6727,1638.7,1,3,1,3,57.0,-2,-3,5,-9,-7,10,-1.4,2,-2,-1.8,-33.4,-1,-3,-1,-3,0,-4,-4,8,-16,-17,11,-1.7,1.1,-1,-1.6182,-104.5,-1,-3,-1,-3,-57,loss,0
1993-01-17,FIFA World Cup qualification,Tunisia,Benin,0,0,1540,1254,286,37,125,-88,35.0,4.0,31,2,3,0,9,10,3,2.0,0.6,2,1.8,1537.6,1,3,1,3,0.0,4,5,1,17,20,11,2.0,1.1,2,1.6727,1638.7,1,3,1,3,57.0,0,0,5,0,3,13,0.6,2.6,0,0.0,1504.2,0,0,0,0,0.0,0,1,9,1,3,22,0.3,2.2,1,0.0545,1534.2,0,0,0,0,0.0,2,3,-5,9,7,-10,1.4,-2,2,1.8,33.4,1,3,1,3,0,4,4,-8,16,17,-11,1.7,-1.1,1,1.6182,104.5,1,3,1,3,57,win,2
1993-01-17,FIFA World Cup qualification,Ethiopia,Morocco,1,0,1438,1573,-135,85,40,45,14.0,32.0,-18,2,0,3,6,10,8,2.0,1.6,1,1.2,1326.2,0,0,0,0,0.0,3,1,6,10,13,29,1.3,2.9,3,1.1273,1428.5,0,0,0,0,0.0,2,2,1,8,8,3,1.6,0.6,3,1.6,1459.8,0,0,0,0,0.0,4,4,2,16,16,7,1.6,0.7,4,1.6,1532.6,0,0,0,0,0.0,0,-2,2,-2,2,5,0.4,1,-2,-0.4,-133.6,0,0,0,0,0,-1,-3,4,-6,-3,22,-0.3,2.2,-1,-0.4727,-104.1,0,0,0,0,0,loss,0
1993-01-17,FIFA World Cup qualification,Morocco,Ethiopia,0,0,1573,1438,135,40,85,-45,32.0,14.0,18,2,2,1,8,8,3,1.6,0.6,3,1.6,1459.8,0,0,0,0,0.0,4,4,2,16,16,7,1.6,0.7,4,1.6,1532.6,0,0,0,0,0.0,2,0,3,6,10,8,2.0,1.6,1,1.2,1326.2,0,0,0,0,0.0,3,1,6,10,13,29,1.3,2.9,3,1.1273,1428.5,0,0,0,0,0.0,0,2,-2,2,-2,-5,-0.4,-1,2,0.4,133.6,0,0,0,0,0,1,3,-4,6,3,-22,0.3,-2.2,1,0.4727,104.1,0,0,0,0,0,win,2
1993-01-17,FIFA World Cup qualification,Mozambique,Gabon,1,0,1334,1443,-109,104,51,53,9.0,27.0,-18,2,0,3,6,8,7,1.6,1.4,1,0.8,1458.75,0,0,0,0,0.0,3,1,6,10,11,13,1.1,1.3,1,0.8545,1480.5714,0,0,0,0,0.0,3,1,1,10,10,7,2.0,1.4,1,1.4667,1420.0,0,0,0,0,0.0,5,3,2,18,14,9,1.4,0.9,4,1.7818,1474.2222,0,0,0,0,0.0,-1,-1,2,-4,-2,0,-0.4,0,0,-0.6667,38.75,0,0,0,0,0,-2,-2,4,-8,-3,4,-0.3,0.4,-3,-0.9273,6.3492,0,0,0,0,0,draw,1
1993-01-17,FIFA World Cup qualification,Gabon,Mozambique,0,0,1443,1334,109,51,104,-53,27.0,9.0,18,3,1,1,10,10,7,2.0,1.4,1,1.4667,1420.0,0,0,0,0,0.0,5,3,2,18,14,9,1.4,0.9,4,1.7818,1474.2222,0,0,0,0,0.0,2,0,3,6,8,7,1.6,1.4,1,0.8,1458.75,0,0,0,0,0.0,3,1,6,10,11,13,1.1,1.3,1,0.8545,1480.5714,0,0,0,0,0.0,1,1,-2,4,2,0,0.4,0,0,0.6667,-38.75,0,0,0,0,0,2,2,-4,8,3,-4,0.3,-0.4,3,0.9273,-6.3492,0,0,0,0,0,draw,1
